wavelength (nm);5_8_2023_1;5_8_2023_2;22_05_2023_1;22_05_2023_2;22_05_2023_3
413;8.33500;2.10800;0.40900;3.06000;5.48600
413.5;8.36400;2.14700;0.32600;3.01700;5.43700
414;8.38400;2.12600;0.28200;2.98000;5.32500
414.5;8.26100;1.89500;0.21400;2.96700;5.21300
415;8.07800;1.64300;0.16800;2.96900;5.14300
415.5;7.82900;1.33900;0.10500;2.98600;4.95800
416;7.63800;1.10700;0.09100;2.94400;4.71600
416.5;7.47800;1.02600;0.04200;2.89400;4.61100
417;7.36700;0.98500;0.08300;2.74800;4.40700
417.5;7.26500;0.89500;0.09900;2.64000;4.29900
418;7.29800;0.92900;0.08800;2.56200;4.22900
418.5;7.46900;1.16800;0.10400;2.48900;4.16800
419;7.57600;1.34800;0.17200;2.44000;4.15300
419.5;7.69300;1.41400;0.22100;2.42900;4.07900
420;7.70800;1.48400;0.27800;2.42300;4.03800
420.5;7.70000;1.42600;0.28900;2.45200;4.02500
421;7.75200;1.46300;0.31600;2.43500;3.93700
421.5;7.78300;1.52300;0.28000;2.38200;3.88100
422;7.69500;1.46400;0.24500;2.31200;3.85900
422.5;7.47500;1.30000;0.22500;2.25200;3.80900
423;7.37400;1.24600;0.19000;2.23300;3.76500
423.5;7.47200;1.37500;0.19100;2.25200;3.79900
424;7.54500;1.47300;0.17200;2.30100;3.89600
424.5;7.62000;1.49600;0.11200;2.38600;3.93900
425;7.67500;1.52300;0.05400;2.44800;3.99200
425.5;7.74500;1.54200;0.05400;2.44500;4.04000
426;7.88900;1.61600;0.06700;2.38000;3.98000
426.5;7.97300;1.61800;0.02200;2.27600;3.94300
427;7.83200;1.51400;0.00200;2.19200;3.87600
427.5;7.67200;1.40600;0.00000;2.10900;3.75000
428;7.60300;1.30300;-0.02500;2.04500;3.68800
428.5;7.67100;1.25500;0.00400;2.01500;3.67000
429;7.71100;1.17600;-0.02300;2.04900;3.72700
429.5;7.74500;1.16200;-0.09600;2.09600;3.77700
430;7.73500;1.23100;-0.10800;2.10900;3.80200
430.5;7.67800;1.20000;-0.11900;2.11700;3.78000
431;7.56500;1.11800;-0.15500;2.12300;3.78800
431.5;7.36200;0.96600;-0.18700;2.13200;3.74800
432;7.18400;0.88600;-0.21600;2.12800;3.67400
432.5;7.11800;0.86900;-0.26600;2.11100;3.58800
